chembl_id,smiles,name,molecular_weight
CHEMBL6218,COc1cc2nc(N3CCN(C(=O)Nc4ccccc4)CC3)nc(N)c2cc1OC,,408.46
CHEMBL6219,COC(=O)/C=C/C(=O)Nc1ccc(/C=C/C(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,,546.58
CHEMBL6208,COc1cc2nc(N3CCN(/C(S)=N/C4CCCCC4)CC3)nc(N)c2cc1OC,,430.58
CHEMBL429379,COc1cc2nc(N3CCN(C(=O)C4=CC5C=CC4CC5)CC3)nc(N)c2cc1OC,,421.50
CHEMBL415285,COc1cc2nc(N3CCN(S(=O)(=O)c4ccc(C)cc4)CC3)nc(N)c2cc1OC,,443.53
CHEMBL264721,COc1cc2nc(N3CCN(/C(S)=N/c4ccccc4)CC3)nc(N)c2cc1OC,,424.53
CHEMBL415286,O=C(c1ccc(-n2ncc(=O)[nH]c2=O)cc1)c1cccs1,,299.31
CHEMBL6226,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1Cc1ccccc1,,293.33
CHEMBL6236,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(Cl)c1C(=O)c1ccc(Cl)cc1,,376.20
CHEMBL6237,O=C(c1ccccc1)c1cccc(-n2ncc(=O)[nH]c2=O)c1,,293.28
CHEMBL6238,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(=O)c1ccc(Cl)cc1,,355.78
CHEMBL266484,Cc1cc(Cl)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1C,,355.78
CHEMBL6239,CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,,265.66
CHEMBL6240,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,,327.73
CHEMBL6243,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,,335.36
CHEMBL6272,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,,327.73
CHEMBL269496,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccc(Cl)cc1,,343.77
CHEMBL6283,c1cncc(CN2CCN(CC3CCCCN3)CC2)c1,,274.41
CHEMBL6284,c1cc(CN2CCN(CC3CCCCN3)CC2)ccn1,,274.41
CHEMBL6277,CN1CCCCC1CN1CCN(Cc2ccncc2)CC1,,288.44
CHEMBL268830,CN1CCCCC1CN1CCN(Cc2cccnc2)CC1,,288.44
CHEMBL6290,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Br)cc4)CC3)nc(N)c2cc1OC,,498.38
CHEMBL6308,CCCC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,,259.26
CHEMBL268150,CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,,231.21
CHEMBL6293,O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1,,417.81
CHEMBL447227,COc1cc2nc(N3CCN(C(=O)c4ccc(N=C=S)c(I)c4)CC3)nc(N)c2cc1OC,,576.42
CHEMBL6302,COc1cc2nc(N3CCN(/C(S)=N/c4ccc(NC(=S)N5CC5)cc4)CC3)nc(N)c2cc1OC,,524.68
CHEMBL268831,CN1CCC[C@H]1CN1CCN(Cc2ccncc2)CC1,,274.41
CHEMBL267915,CN1CCC[C@H]1CN1CCN(Cc2cccnc2)CC1,,274.41
CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,PRAZOSIN,383.41
CHEMBL6306,COC(=O)/C=C/C=C/C(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,,427.46
CHEMBL415103,COc1cc2nc(N3CCN(C(=O)C4OC4c4ccccc4)CC3)nc(N)c2cc1OC,,435.48
CHEMBL6321,COc1cc2nc(N3CCN(C(=O)/C=C/C(=O)c4ccccc4)CC3)nc(N)c2cc1OC,,447.50
CHEMBL6323,COc1cc2nc(N3CCN(C(=O)c4ccc5ccccc5c4)CC3)nc(N)c2cc1OC,,443.51
CHEMBL6313,COc1cc2nc(N3CCN(/C(S)=N/c4ccc(N=[N+]=[N-])cc4)CC3)nc(N)c2cc1OC,,465.54
CHEMBL266081,COc1cc2nc(N3CCN(C(=O)c4cccc(CCl)c4)CC3)nc(N)c2cc1OC,,441.92
CHEMBL6314,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(N=C=S)cc4)CC3)nc(N)c2cc1OC,,476.56
CHEMBL6343,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(NC(=O)CBr)cc4)CC3)nc(N)c2cc1OC,,555.43
CHEMBL204146,O=c1oc2c(O)c(O)ccc2c2ccc(O)cc12,,244.20
CHEMBL6355,O=c1oc2ccccc2c2ccccc12,,196.21
CHEMBL6364,O=c1oc2c(O)c(O)ccc2c2ccccc12,,228.20
CHEMBL6365,O=c1oc2ccccc2c2cc(O)c(O)cc12,,228.20
CHEMBL266458,O=c1oc2cc(O)c(O)cc2c2cc(O)c(O)cc12,,260.20
CHEMBL6366,COc1cc2nc(N3CCN(C(=O)COc4ccccc4)CC3)nc(N)c2cc1OC,,423.47
CHEMBL216458,C=C(C=O)C[C@H]1C[C@H](O)[C@]2(C)O[C@@H]3C[C@@H]4O[C@@H]5C[C@]6(C)O[C@]7(C)CC[C@@H]8O[C@@H]9C[C@]%10(C)O[C@@H]%11C(C)=CC(=O)O[C@H]%11C[C@H]%10O[C@H]9C[C@@H](C)[C@H]8O[C@H]7C[C@H]6O[C@@]5(C)C/C=C\[C@H]4O[C@H]3C[C@H]2O1,ALPHA-BUNGAROTOXIN,895.10
CHEMBL3,CN1CCC[C@H]1c1cccnc1,NICOTINE,162.24
CHEMBL6200,c1cncc([C@@H]2CCCN2)c1,NORNICOTINE,148.21
CHEMBL266886,CCC(C)(C)NC(=O)OCC1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1,,617.70
CHEMBL269132,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)NC(C)CC(C)C)C2)cc(OC)c1OC,,631.72
CHEMBL269133,CCCC(C)NC(=O)OCC1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1,,617.70
CHEMBL6346,O=C(C1CCCCN1)N1CCN(Cc2cccnc2)CC1,SCR01020,288.40
CHEMBL414181,c1cncc(CN2CCN(C[C@@H]3CCCN3)CC2)c1,,260.38
